N;Kernel;Method;Setting;Time;MEM;Iterations;AUC
512000;Kronecker;RLScore;Setting 1;110.75322525401134;0.0861837;58;0.75812128882824
512000;Kronecker;RLScore;Setting 2;112.99039993298356;0.086179604;60;0.7272856924333078
512000;Kronecker;RLScore;Setting 3;76.58131696798955;0.086179668;41;0.7266716970924266
512000;Kronecker;RLScore;Setting 4;26.349756467010593;0.086177932;14;0.7050832480926219
512000;Symmetric;RLScore;Setting 1;775.1901895290066;0.11895558;207;0.776278813416527
512000;Symmetric;RLScore;Setting 2;437.1078901250148;0.118951828;117;0.723921390502446
512000;Symmetric;RLScore;Setting 3;730.101947513991;0.118951828;196;0.7214407129312403
512000;Symmetric;RLScore;Setting 4;87.99758473900147;0.118951828;23;0.7047692063444213
512000;MLPK;RLScore;Setting 1;5403.182599613996;0.31562176;296;0.7728056260485128
512000;MLPK;RLScore;Setting 2;5647.519142025965;0.31561952;300;0.6566247188297856
512000;MLPK;RLScore;Setting 3;5620.88893209002;0.31561952;294;0.656712879991683
512000;MLPK;RLScore;Setting 4;881.4729996970273;0.315623092;46;0.6310677619087197
1024000;Linear;RLScore;Setting 1;1883.3517412610236;0.237859548;164;0.6836256837763263
1024000;Linear;RLScore;Setting 2;539.4505429880228;0.23785862;47;0.6636150186884782
1024000;Linear;RLScore;Setting 3;540.189162265975;0.23785862;47;0.6635066665924794
1024000;Linear;RLScore;Setting 4;346.7379539560061;0.237854932;30;0.649646565718554
1024000;Poly2D;RLScore;Setting 1;1631.7400450090063;0.287053804;95;0.7541320747234188
1024000;Poly2D;RLScore;Setting 2;1098.860502884956;0.287063508;64;0.7302352662818239
1024000;Poly2D;RLScore;Setting 3;636.0230362989823;0.287054732;37;0.7278182656465724
1024000;Poly2D;RLScore;Setting 4;501.8825668609934;0.28705842;29;0.7154144618153986
1024000;Kronecker;RLScore;Setting 1;662.2051885410328;0.172279084;115;0.7590406183833596
1024000;Kronecker;RLScore;Setting 2;328.56846153503284;0.172274964;57;0.7309764898696863
1024000;Kronecker;RLScore;Setting 3;276.3502947000088;0.172274964;48;0.7296691085154161
1024000;Kronecker;RLScore;Setting 4;144.2015208210214;0.172274964;25;0.7137884355209714
1024000;Symmetric;RLScore;Setting 1;2183.5042269330006;0.23785862;188;0.7718017748757532
1024000;Symmetric;RLScore;Setting 2;2161.9419941829983;0.237854868;188;0.7302194629687175
1024000;Symmetric;RLScore;Setting 3;2097.838935486041;0.237854868;183;0.7303096757181389
1024000;Symmetric;RLScore;Setting 4;252.77943571499782;0.237854868;22;0.7139600516407045
1024000;MLPK;RLScore;Setting 1;16627.590200999985;0.631450176;300;0.7679597262251893
1024000;MLPK;RLScore;Setting 2;16783.08891005296;0.631447936;293;0.6601358891408016
1024000;MLPK;RLScore;Setting 3;17391.32797172101;0.631447936;298;0.6595669279920724
1024000;MLPK;RLScore;Setting 4;3375.226871555962;0.631451572;58;0.6463282020293771
