Kernel (domain);Kernel (Y);Kernel (pairwise);Setting;Test AUC
Kd_Tanimoto-circular.txt;Kd_Tanimoto-extended.txt;Kronecker;Setting 3;0.8008737957430895
Kd_Tanimoto-circular.txt;Kd_Tanimoto-extended.txt;Kronecker;Setting 4;0.7426762125011487
Kd_Tanimoto-circular.txt;Kd_Tanimoto-extended.txt;Symmetric;Setting 1;0.9306831890055763
Kd_Tanimoto-circular.txt;Kd_Tanimoto-extended.txt;Symmetric;Setting 2;0.8108075094146853
Kd_Tanimoto-circular.txt;Kd_Tanimoto-extended.txt;Symmetric;Setting 3;0.810808168836211
Kd_Tanimoto-circular.txt;Kd_Tanimoto-extended.txt;Symmetric;Setting 4;0.7449659413788806
Kd_Tanimoto-circular.txt;Kd_Tanimoto-extended.txt;MLPK;Setting 1;0.8959387826581653
Kd_Tanimoto-circular.txt;Kd_Tanimoto-extended.txt;MLPK;Setting 2;0.6971787541389504
Kd_Tanimoto-circular.txt;Kd_Tanimoto-extended.txt;MLPK;Setting 3;0.6971879945505594
Kd_Tanimoto-circular.txt;Kd_Tanimoto-extended.txt;MLPK;Setting 4;0.6001335569328504
Kd_Tanimoto-circular.txt;Kd_Tanimoto-graph.txt;Linear;Setting 1;0.7431527289418243
Kd_Tanimoto-circular.txt;Kd_Tanimoto-graph.txt;Linear;Setting 2;0.7036406167188077
Kd_Tanimoto-circular.txt;Kd_Tanimoto-graph.txt;Linear;Setting 3;0.7034905524050131
Kd_Tanimoto-circular.txt;Kd_Tanimoto-graph.txt;Linear;Setting 4;0.6571454426315355
Kd_Tanimoto-circular.txt;Kd_Tanimoto-graph.txt;Poly2D;Setting 1;0.8628217875773202
Kd_Tanimoto-circular.txt;Kd_Tanimoto-graph.txt;Poly2D;Setting 2;0.7917507187141366
Kd_Tanimoto-circular.txt;Kd_Tanimoto-graph.txt;Poly2D;Setting 3;0.7917934640083888
Kd_Tanimoto-circular.txt;Kd_Tanimoto-graph.txt;Poly2D;Setting 4;0.7063399627282263
Kd_Tanimoto-circular.txt;Kd_Tanimoto-graph.txt;Kronecker;Setting 1;0.8632668447706846
Kd_Tanimoto-circular.txt;Kd_Tanimoto-graph.txt;Kronecker;Setting 2;0.7974432327492543
Kd_Tanimoto-circular.txt;Kd_Tanimoto-graph.txt;Kronecker;Setting 3;0.7972929237205217
Kd_Tanimoto-circular.txt;Kd_Tanimoto-graph.txt;Kronecker;Setting 4;0.7182065893226245
Kd_Tanimoto-circular.txt;Kd_Tanimoto-graph.txt;Symmetric;Setting 1;0.9288656887792529
Kd_Tanimoto-circular.txt;Kd_Tanimoto-graph.txt;Symmetric;Setting 2;0.8085036545261213
Kd_Tanimoto-circular.txt;Kd_Tanimoto-graph.txt;Symmetric;Setting 3;0.8085032800692328
Kd_Tanimoto-circular.txt;Kd_Tanimoto-graph.txt;Symmetric;Setting 4;0.7210399285660618
Kd_Tanimoto-circular.txt;Kd_Tanimoto-graph.txt;MLPK;Setting 1;0.9043178322422112
Kd_Tanimoto-circular.txt;Kd_Tanimoto-graph.txt;MLPK;Setting 2;0.7553611361326019
Kd_Tanimoto-circular.txt;Kd_Tanimoto-graph.txt;MLPK;Setting 3;0.755430191443341
Kd_Tanimoto-circular.txt;Kd_Tanimoto-graph.txt;MLPK;Setting 4;0.6410985165961776
Kd_Tanimoto-circular.txt;Kd_Tanimoto-hybridization.txt;Linear;Setting 1;0.7325708934867974
Kd_Tanimoto-circular.txt;Kd_Tanimoto-hybridization.txt;Linear;Setting 2;0.7055230650888068
Kd_Tanimoto-circular.txt;Kd_Tanimoto-hybridization.txt;Linear;Setting 3;0.7052819407288624
Kd_Tanimoto-circular.txt;Kd_Tanimoto-hybridization.txt;Linear;Setting 4;0.6784069947809355
Kd_Tanimoto-circular.txt;Kd_Tanimoto-hybridization.txt;Poly2D;Setting 1;0.8571587423978455
Kd_Tanimoto-circular.txt;Kd_Tanimoto-hybridization.txt;Poly2D;Setting 2;0.7960667178951658
Kd_Tanimoto-circular.txt;Kd_Tanimoto-hybridization.txt;Poly2D;Setting 3;0.7964649950935616
Kd_Tanimoto-circular.txt;Kd_Tanimoto-hybridization.txt;Poly2D;Setting 4;0.7297450468797994
Kd_Tanimoto-circular.txt;Kd_Tanimoto-hybridization.txt;Kronecker;Setting 1;0.8576478245651977
Kd_Tanimoto-circular.txt;Kd_Tanimoto-hybridization.txt;Kronecker;Setting 2;0.8025345010138792
Kd_Tanimoto-circular.txt;Kd_Tanimoto-hybridization.txt;Kronecker;Setting 3;0.802559195321222
Kd_Tanimoto-circular.txt;Kd_Tanimoto-hybridization.txt;Kronecker;Setting 4;0.7414181515535899
Kd_Tanimoto-circular.txt;Kd_Tanimoto-hybridization.txt;Symmetric;Setting 1;0.9273455536303609
Kd_Tanimoto-circular.txt;Kd_Tanimoto-hybridization.txt;Symmetric;Setting 2;0.8124641993760394
Kd_Tanimoto-circular.txt;Kd_Tanimoto-hybridization.txt;Symmetric;Setting 3;0.8124658451673257
Kd_Tanimoto-circular.txt;Kd_Tanimoto-hybridization.txt;Symmetric;Setting 4;0.7462012839840092
Kd_Tanimoto-circular.txt;Kd_Tanimoto-hybridization.txt;MLPK;Setting 1;0.8961742609706073
Kd_Tanimoto-circular.txt;Kd_Tanimoto-hybridization.txt;MLPK;Setting 2;0.7156868510746702
Kd_Tanimoto-circular.txt;Kd_Tanimoto-hybridization.txt;MLPK;Setting 3;0.7154191403842224
Kd_Tanimoto-circular.txt;Kd_Tanimoto-hybridization.txt;MLPK;Setting 4;0.6142557487032283
Kd_Tanimoto-circular.txt;Kd_Tanimoto-kr.txt;Linear;Setting 1;0.7274065218146059
Kd_Tanimoto-circular.txt;Kd_Tanimoto-kr.txt;Linear;Setting 2;0.7059740126479701
Kd_Tanimoto-circular.txt;Kd_Tanimoto-kr.txt;Linear;Setting 3;0.7053316896040485
Kd_Tanimoto-circular.txt;Kd_Tanimoto-kr.txt;Linear;Setting 4;0.6836639022789781
Kd_Tanimoto-circular.txt;Kd_Tanimoto-kr.txt;Poly2D;Setting 1;0.879419340690415
Kd_Tanimoto-circular.txt;Kd_Tanimoto-kr.txt;Poly2D;Setting 2;0.8226819939814689
Kd_Tanimoto-circular.txt;Kd_Tanimoto-kr.txt;Poly2D;Setting 3;0.8222194090756926
Kd_Tanimoto-circular.txt;Kd_Tanimoto-kr.txt;Poly2D;Setting 4;0.7672734889796803
Kd_Tanimoto-circular.txt;Kd_Tanimoto-kr.txt;Kronecker;Setting 1;0.8796945478463323
Kd_Tanimoto-circular.txt;Kd_Tanimoto-kr.txt;Kronecker;Setting 2;0.8255455232137752
Kd_Tanimoto-circular.txt;Kd_Tanimoto-kr.txt;Kronecker;Setting 3;0.8252099165825658
Kd_Tanimoto-circular.txt;Kd_Tanimoto-kr.txt;Kronecker;Setting 4;0.7696793726918265
Kd_Tanimoto-circular.txt;Kd_Tanimoto-kr.txt;Symmetric;Setting 1;0.9375842316151476
Kd_Tanimoto-circular.txt;Kd_Tanimoto-kr.txt;Symmetric;Setting 2;0.8333163167187767
Kd_Tanimoto-circular.txt;Kd_Tanimoto-kr.txt;Symmetric;Setting 3;0.8333167387966408
Kd_Tanimoto-circular.txt;Kd_Tanimoto-kr.txt;Symmetric;Setting 4;0.7717524685575368
Kd_Tanimoto-circular.txt;Kd_Tanimoto-kr.txt;MLPK;Setting 1;0.9110158122013432
Kd_Tanimoto-circular.txt;Kd_Tanimoto-kr.txt;MLPK;Setting 2;0.7244306981784896
