Kernel (drug);Kernel (protein);Kernel (pairwise);Setting;Iteration;Train AUC;Test AUC
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;35;0.9334335643037711;0.892227755434752
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;36;0.9334538627607067;0.8935677979144638
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;37;0.9339834092407551;0.8942985914172376
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;38;0.933449348031597;0.8931374587000278
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;39;0.9345250865651601;0.894031135313818
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;40;0.9346028246225483;0.8934795968188732
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;41;0.9348401855094433;0.8925447269863553
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;42;0.9348644167924102;0.892547525290583
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;43;0.9342888737573118;0.8910477250786024
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;44;0.9353359721746739;0.892284430180765
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;45;0.9360469822464411;0.8913160170391288
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;46;0.9363689811982188;0.8912112986802725
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;47;0.9366317245925494;0.8894559079016298
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;48;0.9376407780817932;0.8896235517639947
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;49;0.9376401070584235;0.8896180460095727
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;50;0.9380336035502504;0.8897629581927897
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;51;0.9380348554282247;0.8892587364784214
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;52;0.9382443604574819;0.8893304748231663
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;53;0.938750065686897;0.8895856838028882
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;54;0.9388992740240102;0.8898261926000117
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;55;0.938945339778345;0.889248978755238
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;56;0.9389199520285393;0.8887024554029349
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;57;0.9391007571785766;0.8889978400362107
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;58;0.9390434308133176;0.8886782882300599
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;59;0.9393908699386018;0.8890702143591892
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;60;0.9392279580461091;0.8884341997840218
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;61;0.9396402222228094;0.889202079903215
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;62;0.9398314030717018;0.8891734427118985
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;63;0.9397670749969689;0.8887987243366884
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;64;0.9397162974004093;0.8884100326111467
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;65;0.9400268763732126;0.8886846298415887
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;66;0.9397549546373524;0.8882702991078315
Kd_Tanimoto-shortestpath.txt;Kp_GS-ATP_L5_Sp4.0_Sc4.0.txt;Linear;Setting 1;67;0.9400056300957672;0.8885442967016534
